address	type	source	name
002030f4	Label	DEFAULT	LAB_002030f4
0020310c	Label	DEFAULT	LAB_0020310c
00203128	Label	DEFAULT	LAB_00203128
00203130	Label	DEFAULT	LAB_00203130
00203138	Function	IMPORTED	controllerOpen
00203150	Label	DEFAULT	LAB_00203150
0020319c	Label	DEFAULT	LAB_0020319c
002031a8	Function	IMPORTED	controllerTick
002031f4	Label	DEFAULT	LAB_002031f4
00203200	Label	DEFAULT	LAB_00203200
0020321c	Label	DEFAULT	LAB_0020321c
00203224	Label	DEFAULT	LAB_00203224
00203260	Label	DEFAULT	LAB_00203260
00203270	Label	DEFAULT	LAB_00203270
00203284	Label	DEFAULT	LAB_00203284
0020329c	Label	DEFAULT	LAB_0020329c
002032f0	Label	DEFAULT	LAB_002032f0
00203300	Label	DEFAULT	LAB_00203300
00203308	Label	DEFAULT	LAB_00203308
0020332c	Label	DEFAULT	LAB_0020332c
00203354	Label	DEFAULT	LAB_00203354
0020336c	Label	DEFAULT	LAB_0020336c
00203384	Label	DEFAULT	LAB_00203384
0020338c	Label	DEFAULT	LAB_0020338c
002033b4	Label	DEFAULT	LAB_002033b4
002033ec	Label	DEFAULT	LAB_002033ec
002033fc	Label	DEFAULT	LAB_002033fc
00203414	Label	DEFAULT	LAB_00203414
00203438	Label	DEFAULT	LAB_00203438
0020343c	Label	DEFAULT	LAB_0020343c
00203440	Label	DEFAULT	LAB_00203440
002034bc	Label	DEFAULT	LAB_002034bc
002034c0	Label	DEFAULT	LAB_002034c0
002034d4	Label	DEFAULT	LAB_002034d4
002034e4	Label	DEFAULT	LAB_002034e4
002034fc	Label	DEFAULT	LAB_002034fc
00203504	Label	DEFAULT	LAB_00203504
0020355c	Label	DEFAULT	LAB_0020355c
00203564	Label	DEFAULT	LAB_00203564
00203574	Label	DEFAULT	LAB_00203574
00203590	Label	DEFAULT	LAB_00203590
002035a8	Function	IMPORTED	joyMtapTick
002035c8	Label	DEFAULT	LAB_002035c8
002035e0	Label	DEFAULT	LAB_002035e0
002035e8	Label	DEFAULT	LAB_002035e8
002035f8	Label	DEFAULT	LAB_002035f8
00203610	Function	IMPORTED	joyMtapGetSlots
00203628	Function	IMPORTED	set_cheat
00203660	Function	IMPORTED	cheat1
00203688	Function	IMPORTED	setcheat1
00203690	Function	IMPORTED	setcheat2
00203698	Function	IMPORTED	setcheat3
002036a0	Function	IMPORTED	setcheat4
002036a8	Function	IMPORTED	setcheat5
002036b0	Function	IMPORTED	cheatTick
002036f8	Label	DEFAULT	LAB_002036f8
00203700	Label	DEFAULT	LAB_00203700
00203730	Label	DEFAULT	LAB_00203730
00203758	Label	DEFAULT	LAB_00203758
00203780	Label	DEFAULT	LAB_00203780
00203784	Label	DEFAULT	LAB_00203784
002037a8	Label	DEFAULT	LAB_002037a8
002037c8	Label	DEFAULT	LAB_002037c8
002037f8	Function	IMPORTED	joyTick
00203828	Label	DEFAULT	LAB_00203828
00203860	Function	IMPORTED	joyBut
002038a0	Label	DEFAULT	LAB_002038a0
002038a4	Label	DEFAULT	LAB_002038a4
002038e8	Function	IMPORTED	joyNewBut
00203928	Label	DEFAULT	LAB_00203928
0020392c	Label	DEFAULT	LAB_0020392c
00203968	Function	IMPORTED	joyReleaseBut
002039a8	Label	DEFAULT	LAB_002039a8
002039ac	Label	DEFAULT	LAB_002039ac
002039e8	Function	IMPORTED	joyClearButs
00203a30	Label	DEFAULT	LAB_00203a30
00203a34	Label	DEFAULT	LAB_00203a34
00203a88	Function	IMPORTED	joyClearAll
00203ad0	Label	DEFAULT	LAB_00203ad0
00203ad4	Label	DEFAULT	LAB_00203ad4
00203b30	Function	IMPORTED	joySetCentreZone
00203b78	Label	DEFAULT	LAB_00203b78
00203b7c	Label	DEFAULT	LAB_00203b7c
00203bb8	Function	IMPORTED	joyGetAxis
00203c00	Label	DEFAULT	LAB_00203c00
00203c04	Label	DEFAULT	LAB_00203c04
00203c4c	Label	DEFAULT	LAB_00203c4c
00203c64	Label	DEFAULT	LAB_00203c64
00203c74	Label	DEFAULT	LAB_00203c74
00203c88	Label	DEFAULT	LAB_00203c88
00203c94	Label	DEFAULT	LAB_00203c94
00203c98	Label	DEFAULT	LAB_00203c98
00203ca8	Label	DEFAULT	LAB_00203ca8
00203cac	Label	DEFAULT	LAB_00203cac
