entry	end	size	name	prototype
002cfcd8	002cfcff	40	sceGifPkAddGsData	undefined sceGifPkAddGsData()
002cfd00	002cfd0f	16	RFU000_FullReset	undefined RFU000_FullReset()
002cfd10	002cfd1f	16	ResetEE	undefined ResetEE()
002cfd20	002cfd2f	16	SetGsCrt	undefined SetGsCrt()
002cfd30	002cfd3f	16	RFU003	undefined RFU003()
002cfd40	002cfd4f	16	Exit	void Exit(int __status)
002cfd50	002cfd5f	16	RFU005	undefined RFU005()
002cfd60	002cfd6f	16	LoadExecPS2	undefined LoadExecPS2()
002cfd70	002cfd7f	16	ExecPS2	undefined ExecPS2()
002cfd80	002cfd8f	16	RFU008	undefined RFU008()
002cfd90	002cfd9f	16	RFU009	undefined RFU009()
002cfda0	002cfdaf	16	AddSbusIntcHandler	undefined AddSbusIntcHandler()
002cfdb0	002cfdbf	16	RemoveSbusIntcHandler	undefined RemoveSbusIntcHandler()
002cfdc0	002cfdcf	16	Interrupt2Iop	undefined Interrupt2Iop()
002cfdd0	002cfddf	16	SetVTLBRefillHandler	undefined SetVTLBRefillHandler()
002cfde0	002cfdef	16	SetVCommonHandler	undefined SetVCommonHandler()
002cfdf0	002cfdff	16	SetVInterruptHandler	undefined SetVInterruptHandler()
002cfe00	002cfe0f	16	AddIntcHandler	undefined AddIntcHandler()
002cfe10	002cfe1f	16	AddIntcHandler2	undefined AddIntcHandler2()
002cfe20	002cfe2f	16	RemoveIntcHandler	undefined RemoveIntcHandler()
002cfe30	002cfe3f	16	AddDmacHandler	undefined AddDmacHandler()
002cfe40	002cfe4f	16	AddDmacHandler2	undefined AddDmacHandler2()
002cfe50	002cfe5f	16	RemoveDmacHandler	undefined RemoveDmacHandler()
002cfe60	002cfe6f	16	_EnableIntc	undefined _EnableIntc()
002cfe70	002cfe7f	16	_DisableIntc	undefined _DisableIntc()
002cfe80	002cfe8f	16	_EnableDmac	undefined _EnableDmac()
002cfe90	002cfe9f	16	_DisableDmac	undefined _DisableDmac()
002cfea0	002cfeaf	16	_SetAlarm	undefined _SetAlarm()
002cfeb0	002cfebf	16	_ReleaseAlarm	undefined _ReleaseAlarm()
002cfec0	002cfecf	16	_iEnableIntc	undefined _iEnableIntc()
002cfed0	002cfedf	16	_iDisableIntc	undefined _iDisableIntc()
002cfee0	002cfeef	16	_iEnableDmac	undefined _iEnableDmac()
002cfef0	002cfeff	16	_iDisableDmac	undefined _iDisableDmac()
002cff00	002cff0f	16	_iSetAlarm	undefined _iSetAlarm()
002cff10	002cff1f	16	_iReleaseAlarm	undefined _iReleaseAlarm()
002cff20	002cff2f	16	CreateThread	undefined CreateThread()
002cff30	002cff3f	16	DeleteThread	undefined DeleteThread()
