path	length	kind	description
FIELD	32	4	sh_addralign	/dword
FIELD	36	4	sh_entsize	/dword
/ELF/Elf32_Shdr[40]	1600	ArrayDB	Array of 
/ELF/Elf32_Sym	16	StructureDB	
FIELD	0	4	st_name	/dword
FIELD	4	4	st_value	/dword
FIELD	8	4	st_size	/dword
FIELD	12	1	st_info	/byte
FIELD	13	1	st_other	/byte
FIELD	14	2	st_shndx	/word
/ELF/Elf32_Sym[6254]	100064	ArrayDB	Array of 
/ELF/Elf_ProgramHeaderType_EE	4	EnumDB	
/ELF/Elf_SectionHeaderType_EE	4	EnumDB	
/ossl_typ.h/EVP_PKEY_CTX	1	TypedefDB	
/ossl_typ.h/EVP_PKEY_CTX *	4	PointerDB	pointer to EVP_PKEY_CTX
/ossl_typ.h/evp_pkey_ctx_st	1	StructureDB	
/exception	40	StructureDB	
FIELD	0	4	type	/int
FIELD	4	4	name	/char *
FIELD	8	8	arg1	/double
FIELD	16	8	arg2	/double
FIELD	24	8	retval	/double
FIELD	32	4	err	/int
/exception *	4	PointerDB	pointer to exception
/fd_mask	8	TypedefDB	Signed Long Integer (compiler-specific size)
/fd_mask[1]	8	ArrayDB	Array of Signed Long Integer (compiler-specific size)
/FILE	88	TypedefDB	
/FILE *	4	PointerDB	pointer to FILE
/FLO_type	8	TypedefDB	Signed Long Integer (compiler-specific size)
/FLO_type.conflict	4	TypedefDB	Compiler-defined 'float' IEEE 754 floating-point type (32-bit / 4-byte format, aligned-length is 4-bytes)
/FLO_union_type__221_38	8	UnionDB	
FIELD	0	8	value	/FLO_type
FIELD	0	8	value_raw	/fractype
FIELD	0	8	words	/halffractype[2]
FIELD	0	8	bits	/FLO_union_type__bits__221_38
/FLO_union_type__221_38 *	4	PointerDB	pointer to FLO_union_type__221_38
/FLO_union_type__222_38	4	UnionDB	
FIELD	0	4	value	/FLO_type.conflict
FIELD	0	4	value_raw	/fractype.conflict
FIELD	0	4	bits	/FLO_union_type__bits__222_38
/FLO_union_type__222_38 *	4	PointerDB	pointer to FLO_union_type__222_38
/FLO_union_type__bits__221_38	8	StructureDB	
FIELD	0	7	fraction	/fractype:52
FIELD	6	2	exp	/unsigned int:11
FIELD	7	1	sign	/unsigned int:1
/FLO_union_type__bits__222_38	4	StructureDB	
FIELD	0	3	fraction	/fractype.conflict:23
FIELD	2	2	exp	/unsigned int:8
FIELD	3	1	sign	/unsigned int:1
/float	4	FloatDataType	Compiler-defined 'float' IEEE 754 floating-point type (32-bit / 4-byte format, aligned-length is 4-bytes)
/float *	4	PointerDB	pointer to float
/float[0]	1	ArrayDB	Array of Compiler-defined 'float' IEEE 754 floating-point type (32-bit / 4-byte format, aligned-length is 4-bytes)
/float[20]	80	ArrayDB	Array of Compiler-defined 'float' IEEE 754 floating-point type (32-bit / 4-byte format, aligned-length is 4-bytes)
/float[2]	8	ArrayDB	Array of Compiler-defined 'float' IEEE 754 floating-point type (32-bit / 4-byte format, aligned-length is 4-bytes)
/float[3]	12	ArrayDB	Array of Compiler-defined 'float' IEEE 754 floating-point type (32-bit / 4-byte format, aligned-length is 4-bytes)
/flock	32	StructureDB	
FIELD	0	2	l_type	/short int
FIELD	2	2	l_whence	/short int
FIELD	8	8	l_start	/long int
FIELD	16	8	l_len	/long int
FIELD	24	2	l_pid	/short int
FIELD	26	2	l_xxx	/short int
/fp_class_type	4	EnumDB	
/fp_except	4	TypedefDB	Signed Integer (compiler-specific size)
/fp_number_type__221_34	24	StructureDB	
FIELD	0	4	class	/fp_class_type
FIELD	4	4	sign	/unsigned int
FIELD	8	4	normal_exp	/int
FIELD	16	8	fraction	/fp_number_type__fraction__221_34
/fp_number_type__221_34 *	4	PointerDB	pointer to fp_number_type__221_34
/fp_number_type__222_34	16	StructureDB	
FIELD	0	4	class	/fp_class_type
FIELD	4	4	sign	/unsigned int
FIELD	8	4	normal_exp	/int
FIELD	12	4	fraction	/fp_number_type__fraction__222_34
/fp_number_type__222_34 *	4	PointerDB	pointer to fp_number_type__222_34
/fp_number_type__fraction__221_34	8	UnionDB	
FIELD	0	8	ll	/fractype
FIELD	0	8	l	/halffractype[2]
/fp_number_type__fraction__222_34	4	UnionDB	
FIELD	0	4	ll	/fractype.conflict
FIELD	0	4	l	/halffractype.conflict[2]
/fp_rdi	4	TypedefDB	Signed Integer (compiler-specific size)
/fp_rnd	4	TypedefDB	Signed Integer (compiler-specific size)
/fpos_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/fractype	8	TypedefDB	Unsigned Long Integer (compiler-specific size)
/fractype.conflict	4	TypedefDB	Unsigned Integer (compiler-specific size)
/func_ptr	4	TypedefDB	pointer to undefined1
/func_ptr[2]	8	ArrayDB	Array of pointer to undefined1
/gid_t	2	TypedefDB	Signed Short Integer (compiler-specific size)
/halffractype	4	TypedefDB	Unsigned Integer (compiler-specific size)
/halffractype.conflict	2	TypedefDB	Signed Short Integer (compiler-specific size)
/halffractype[2]	8	ArrayDB	Array of Unsigned Integer (compiler-specific size)
/halffractype.conflict[2]	4	ArrayDB	Array of Signed Short Integer (compiler-specific size)
/HItype	2	TypedefDB	Unsigned Short Integer (compiler-specific size)
/ieee_double_shape_type	8	UnionDB	
FIELD	0	8	value	/double
FIELD	0	8	parts	/ieee_double_shape_type__parts
/ieee_double_shape_type__parts	8	StructureDB	
FIELD	0	4	lsw	/__uint32_t
FIELD	4	4	msw	/__uint32_t
/ieee_float_shape_type	4	UnionDB	
FIELD	0	4	value	/float
FIELD	0	4	word	/__uint32_t
/ino_t	2	TypedefDB	Signed Short Integer (compiler-specific size)
/int	4	IntegerDataType	Signed Integer (compiler-specific size)
/int *	4	PointerDB	pointer to int
/int[0]	1	ArrayDB	Array of Signed Integer (compiler-specific size)
/intfrac	8	TypedefDB	Signed Long Integer (compiler-specific size)
/intfrac.conflict	4	TypedefDB	Signed Integer (compiler-specific size)
/stdint.h/intptr_t	4	TypedefDB	Signed Integer (compiler-specific size)
/key_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/lconv	48	StructureDB	
FIELD	0	4	decimal_point	/char *
FIELD	4	4	thousands_sep	/char *
FIELD	8	4	grouping	/char *
FIELD	12	4	int_curr_symbol	/char *
FIELD	16	4	currency_symbol	/char *
FIELD	20	4	mon_decimal_point	/char *
FIELD	24	4	mon_thousands_sep	/char *
FIELD	28	4	mon_grouping	/char *
FIELD	32	4	positive_sign	/char *
FIELD	36	4	negative_sign	/char *
FIELD	40	1	int_frac_digits	/char
FIELD	41	1	frac_digits	/char
FIELD	42	1	p_cs_precedes	/char
FIELD	43	1	p_sep_by_space	/char
FIELD	44	1	n_cs_precedes	/char
FIELD	45	1	n_sep_by_space	/char
FIELD	46	1	p_sign_posn	/char
FIELD	47	1	n_sign_posn	/char
/locale.h/lconv	56	StructureDB	
FIELD	0	4	decimal_point	/char *
FIELD	4	4	thousands_sep	/char *
FIELD	8	4	grouping	/char *
FIELD	12	4	int_curr_symbol	/char *
FIELD	16	4	currency_symbol	/char *
FIELD	20	4	mon_decimal_point	/char *
FIELD	24	4	mon_thousands_sep	/char *
FIELD	28	4	mon_grouping	/char *
FIELD	32	4	positive_sign	/char *
FIELD	36	4	negative_sign	/char *
FIELD	40	1	int_frac_digits	/char
FIELD	41	1	frac_digits	/char
FIELD	42	1	p_cs_precedes	/char
FIELD	43	1	p_sep_by_space	/char
FIELD	44	1	n_cs_precedes	/char
FIELD	45	1	n_sep_by_space	/char
FIELD	46	1	p_sign_posn	/char
FIELD	47	1	n_sign_posn	/char
FIELD	48	1	int_p_cs_precedes	/char
FIELD	49	1	int_p_sep_by_space	/char
FIELD	50	1	int_n_cs_precedes	/char
FIELD	51	1	int_n_sep_by_space	/char
FIELD	52	1	int_p_sign_posn	/char
FIELD	53	1	int_n_sign_posn	/char
/lconv *	4	PointerDB	pointer to lconv
